Link,Name,SKU,Price,Five Star,Review Amount,Image Link,,4-Way Venting,AAFA Certified,ADA Compliant,ANSI Certified,Adjustable Leveling Legs,Agitator Type,Amperage,Antimicrobial Protection,App Compatible,Assembly Required,Automatic Temperature Control,Bleach Dispenser,Brand,Brand Compatibility,Built-In Water Faucet,CEE Qualified,Capacity,Child Lock,Color,Color Category,Color Finish,Commercial Merchandise,Compact Design,Compatible Appliance Type,Consortium for Energy Efficiency (CEE) Rating,Control Location,Control Type,Delay Start,Depth With Door Open,Detergent Dispenser Type,Detergent Form,Display Type,Door Style,Drain Hose Included,Drum Material,Dryer Capacity,Dryer Depth With Door Open,Dryer Door Style,Dryer Drum Material,Dryer Heating Source,Dryer Interior Light,Dryer Voltage,Dryer Window,Drying Cycles,Drying Rack,Drying Type,ENERGY STAR Certified,End-Of-Cycle Signal,Estimated Annual Electricity Use,Estimated Annual Electricity Use (Dryer),Estimated Annual Electricity Use (Washer),Estimated Annual Operating Cost,Estimated Annual Operating Cost (Dryer),Estimated Annual Operating Cost (Washer),Exhaust Vent Location,Fabric Softener Dispenser,Faucet Adapter Included,Fill Hoses Included,Fingerprint Resistant,Gas Connector Included,Hardware Included,Height To Control Panel Top,Height With Door Open,High-Efficiency,Integrated Water Heater,Interior Light(s),Internal Water Heater,Lint Filter Full Indicator,Manufacturer's Warranty - Labor,Manufacturer's Warranty - Parts,Matching Dryer Available,Matching Dryer Model Number,Matching Washer Available,Matching Washer Model Number,Matching Washer Type,Material,Maximum Spin Speed,Model Compatibility,Model Number,Moisture Sensor,NSF Listed,Noise Reduction,Number Of Doors,Number Of Drawers,Number Of Drying Cycles,Number Of Shelves,Number of Drying Temperatures,Number of Rinse Temperatures,Number of Spin Speeds,Number of Temperature Settings,Number of Wash Temperatures,Number of Wash/Rinse Cycles,Options and Programs,Out-Of-Balance Detection,Payment System,Pedestal Available,Pedestal Model Compatibility,Power Cord Included,Pre-Wash Detergent Dispenser,Product Depth,Product Height,Product Length,Product Name,Product Safety Certifications and Standards,Product Weight,Product Width,Propane (LP) Convertible,Propane Conversion Kit Included,Propane Conversion Kit Model Compatibility,Quantity,Reversible Door Hinge,Second Rinse,Self-Cleaning Filter,Sensor Dry,Soft Close Lid,Soil Levels,Stackable,Stacking Kit Included,Stacking Kit Model Compatibility,Steam Function,Temperature Settings,Time-Remaining Display,Total Maximum BTU Rating,Tub/Drum Material,UPC,Vendor Collection,Vibration Reduction,Voltage,Wash/Rinse Cycles,Washer Capacity,Washer Interior Light,Washer Load Type,Washer Tub/Drum Material,Washer Voltage,Washer Window,Washer/Dryer Combo Type,Washing Mechanism,Water Source,Wheels/Casters,Window,Wireless Connectivity,Works With
https://www.bestbuy.com/site/samsung-7-5-cu-ft-stackable-electric-dryer-with-sensor-dry-black-stainless-steel/6427844.p?skuId=6427844,Samsung - 7.5 Cu. Ft. Stackable Electric Dryer with Sensor Dry - Black Stainless Steel,DVE45T6000V/A3,$699.99,4.6,(1.973 Reviews),https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6427/6427844_sd.jpg;maxHeight=640;maxWidth=550,,Yes,,No,,,,30 amperes,,No,,,,Samsung,,,,7.5 cubic feet,Yes,Black Stainless Steel,,Black stainless steel,,No,,,Front panel,"Touchpad, Dial",,52 5/8 inches,,,LED,,,Anodized steel,,,,,Electric,,,,"Normal, Heavy Duty, Permanent Press, Activewear, Bedding, Delicates, Sanitize, Time Dry, Air Fluff, Quick Dry",No,Vented,No,Yes,644 kilowatt hours,,,,,,"Bottom, Left, Rear, Right",,,,Yes,,,,,,,Yes,,,1 Year,1 Year,,,Yes,WF45T6000AV,Front load,,,,DVE45T6000V/A3,Yes,,,,,10,,,,,5,,,"Mixed Load Bell, Wrinkle Prevent, Adjust Time (Up), Adjust Time (Down), Eco Dry, Child Lock, Smart Care, Sound, Drum Light",,,Yes,WE402NV,No,,31 1/2 inches,38 3/4 inches,,7.5 Cu. Ft. Stackable Electric Dryer with Sensor Dry,,114.6 pounds,27 inches,,,,,Yes,,,,,,Yes,No,SKK-8K,No,"High, Medium High, Medium, Medium Low, Low",Yes,,,887276439419,,Yes,240 volts,,,,,,,,,,,,Yes,None,
https://www.bestbuy.com/site/ge-4-5-cu-ft-high-efficiency-top-load-washer-with-wash-boost-white-with-matte-black/6570096.p?skuId=6570096,GE - 4.5 Cu. Ft. High-Efficiency Top Load Washer with Wash Boost - White with Matte Black,GTW485ASWWB,$579.99,4.5,(185 Reviews),https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6570/6570096_sd.jpg;maxHeight=640;maxWidth=550,,,No,,No,Yes,Dual-action,10 amperes,No,No,,Yes,Yes,GE,,No,No,4.5 cubic feet,No,White with Matte Black,,White,,,,Not Available,,Dial,No,,Single load,"Liquid, Powder, Single-use packs, Gel, Tablet",LED,,Yes,,,,,,,,,,,,,No,Yes,186 kilowatt hours,,,26 United States dollars,,,,Yes,No,No,No,,,44 inches,54 inches,Yes,,No,,,1,1,Yes,"GTD48EASWWB, GTD48GASWWB",,,,,750 revolutions per minute,,GTW485ASWWB,,No,,,,,,,,2,6,,10,"Cold Plus, Deep Fill, Deep Rinse, Extra Rinse, Extra Spin, Wash Boost - Power, Wash Boost - Soak",Yes,,,,Yes,No,27 inches,44 inches,,4.5 Cu. Ft. High-Efficiency Top Load Washer with Wash Boost,None,147 pounds,27 inches,,,,,,,,,No,,,,,No,"Cold Plus, Cold, Cool, Mild, Warm, Hot",No,,Stainless steel,084691943617,,No,120 volts,"ActiveWear, Bulky, Casuals, Delicates, Drain & Spin, Normal, Quick Wash, Sanitize w/ Oxi, Towels/Sheets, Whites",,,Top load,,,,,Agitator,,No,No,None,
https://www.bestbuy.com/site/ge-7-2-cu-ft-electric-dryer-with-long-venting-up-to-120-ft-white-with-matte-black/6570086.p?skuId=6570086,GE - 7.2 Cu. Ft. Electric Dryer with Long Venting up to 120 Ft. - White with Matte Black,GTD48EASWWB,$579.99,4.8,(33 Reviews),https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6570/6570086_sd.jpg;maxHeight=640;maxWidth=550,,Yes,,No,,,,24 amperes,,No,,,,GE,,,No,7.2 cubic feet,No,White with Matte Black,,White,,No,,Not Available,Rear panel,Dial,No,52 inches,,,,,,Aluminized alloy,,,,,Electric,,,,"Air Fluff, Casuals, Cottons, Delicates",No,Vented,No,Yes,,,,,,,"Rear, Right, Left, Bottom",,,,No,,,,,,,Yes,,No,1,1,,,Yes,"GTW485ASWWB, GTW480ASWWB",Top load,,,,GTD48EASWWB,No,No,,,,4,,,,,4,,,"Dewrinkle, Quick Fluff, Heavy Duty 80, De-Wrinkle",,,No,,No,,29 1/2 inches,44 inches,,7.2 Cu. Ft. Electric Dryer with Long Venting up to 120 Ft.,None,101 pounds,27 inches,,,,,Yes,,No,,,,No,,,No,"High, Medium, Low, No Heat",No,,,084691942894,,No,240 volts,,,,,,,,,,,,No,None,
https://www.bestbuy.com/site/ge-profile-5-0-cu-ft-high-efficiency-smart-top-load-washer-with-smarter-wash-technology-easier-reach-microban-technology-diamond-gray/6472680.p?skuId=6472680,"GE Profile - 5.0 Cu Ft High Efficiency Smart Top Load Washer with Smarter Wash Technology, Easier Reach & Microban Technology - Diamond Gray",PTW600BPRDG,$679.99,4.3,(728 Reviews),https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6472/6472680_sd.jpg;maxHeight=640;maxWidth=550,,,No,,No,Yes,,10 amperes,Yes,Yes,,Yes,Yes,GE Profile,,No,No,5 cubic feet,Yes,Diamond Gray,,Gray,No,,,Not Available,,"Dial, Touchpad",Yes,,Multi load,"Liquid, Powder, Single-use packs",,,Yes,,,,,,,,,,,,,Yes,Yes,158 kilowatt hours,,,19 United States dollars,,,,Yes,,No,No,,,43 7/8 inches,58 1/4 inches,Yes,,No,,,Limited 1-year entire appliance,Limited 1-year entire appliance; Limited 10-year motor,Yes,"PTD60EBPRDG, PTD60GBPRDG",,,,,800 revolutions per minute,,PTW600BPRDG,,No,,,,,,,,5,6,,9,"Auto Soak, Deep Fill, Delay Wash, Multi-purpose Control Lock, My Cycle, Power/Care/Auto, Tangle Control",Yes,,,,Yes,,28 inches,46 inches,,"5.0 Cu Ft High Efficiency Smart Top Load Washer with Smarter Wash Technology, Easier Reach & Microban Technology",,162 pounds,27 7/8 inches,,,,,,,,,Yes,"Extra Heavy, Extra Light, Heavy, Light, Normal",,,,No,,,,Stainless steel,084691876328,GE Profile Series,Yes,120 volts,"3 Downloadable Cycles, Bulky Items, Colors/Normals, Delicates, Drain + Spin, Jeans, Quick Wash, Sanitize with Oxi, Towels, Whites",,,Top load,,,,,Impeller,,,Yes,Wi-Fi,"Amazon Alexa, Google Assistant"
https://www.bestbuy.com/site/insignia-6-7-cu-ft-electric-dryer-with-sensor-dry-and-my-cycle-memory-white/5964014.p?skuId=5964014,Insignia™ - 6.7 Cu. Ft. Electric Dryer with Sensor Dry and My Cycle Memory - White,NS-FDRE67WH8A,$489.99,4.4,(2.079 Reviews),https://pisces.bbystatic.com/image2/BestBuy_US/images/products/5964/5964014_sd.jpg;maxHeight=640;maxWidth=550,,No,,No,,,,24 amperes,,No,,Yes,,Insignia™,,,,6.7 cubic feet,No,White,,White,,No,,,Rear panel,"Dial, Button",No,48 5/8 inches,,,LED,,,Stainless steel,,,,,Electric,,,,"Normal, Delicates, Casual, Towels, Sanitize, Heavy Duty, Bulky, Quick Dry, Time Dry, Air Fluff",No,Vented,No,Yes,,,,,,,Rear,,,,Yes,,,,,,,No,,,1 year,1 year,,,Yes,NS-TWM41WH8A,Top load,,,,NS-FDRE67WH8A,Yes,No,,,,10,,,,,5,,,"My Cycle Settings, Dryness, Time Adjust, Wrinkle Prevent",,,No,,No,,29 1/8 inches,42 15/16 inches,,6.7 Cu. Ft. Electric Dryer with Sensor Dry and My Cycle Memory,UL Listed,127.8 pounds,27 inches,,,,,Yes,,No,,,,No,,,No,"High, Medium, Low, Ultra Low, No Heat",Yes,,,600603220784,,No,240 volts,,,,,,,,,,,,No,,
https://www.bestbuy.com/site/insignia-6-7-cu-ft-electric-dryer-with-sensor-dry-white/6420142.p?skuId=6420142,Insignia™ - 6.7 Cu. Ft. Electric Dryer with Sensor Dry - White,NS-TDRE67W1,$424.99,4.5,(1.712 Reviews),https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6420/6420142_sd.jpg;maxHeight=640;maxWidth=550,,No,,,,,,24 amperes,,No,,Yes,,Insignia™,,,,6.7 cubic feet,No,White,,White,,No,,,Rear panel,"Dial, Button",,49 1/4 inches,,,LED,,,Anodized steel,,,,,Electric,,,,"Normal, Heavy Duty, Towels, Casual, Delicates, Sanitize, Quick Dry, Air Fluff, Timed Dry (20, 40, 60, 80 Minutes)",No,Vented,No,Yes,,,,,,,Rear,,,,,,,,,,,,,,1 Year,1 Year,,,Yes,NS-TWM35W1,Top load,,,,NS-TDRE67W1,Yes,No,,,,9,,,,,4,,,Dryness and Temperature Adjustment,,,No,,No,,30 inches,41 3/4 inches,,6.7 Cu. Ft. Electric Dryer with Sensor Dry,UL Listed,121.3 pounds,27 inches,,,,,Yes,,No,,,,No,,,No,"High, Medium, Low, No Heat",Yes,,,600603262913,,,240 volts,,,,,,,,,,,,No,,
https://www.bestbuy.com/site/samsung-4-5-cu-ft-high-efficiency-stackable-smart-front-load-washer-with-steam-and-super-speed-wash-champagne/6491516.p?skuId=6491516,Samsung - 4.5 Cu. Ft. High-Efficiency Stackable Smart Front Load Washer with Steam and Super Speed Wash - Champagne,WF45B6300AC,$699.99,4.6,(1.315 Reviews),https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6491/6491516_sd.jpg;maxHeight=640;maxWidth=550,,,,Yes,No,Yes,,15 amperes,Yes,Yes,,Yes,Yes,Samsung,,,Yes,4.5 cubic feet,Yes,Champagne,,Champagne,No,No,,,,"Button, Dial",Yes,52 11/16 inches,Single load,"Gel, Liquid, Powder, Single-use packs, Tablet",LED,,Yes,,,,,,,,,,,,,Yes,Yes,93 kilowatt hours,,,9 United States dollars,,,,Yes,,No,Yes,,,,,Yes,,No,Yes,,1 year,1 year,Yes,"DVE45B6300C, DVG45B6300C",,,,,1200 revolutions per minute,,WF45B6300AC,,No,Vibration Reduction Technology+,,,,,,,5,5,,12,"Normal, Heavy Duty, Bedding, Quick Wash, Delicates, Towels, Rinse + Spin, Self Clean+, Steam Sanitize, Steam Normal, Steam Whites, Downloads, Permanent Press, Activewear, Wool, Eco Cold, Colors, Outdoor, Denim, Steam Allergen, Power Steam, Steam Bulky, Power Rinse, Pre Soak, Steam, Delay End, Smart Control, Super Speed, Smart Care, Sound, Child Lock, Spin Only",Yes,,Yes,WE402NC,Yes,No,31 3/8 inches,38 3/4 inches,,4.5 Cu. Ft. High-Efficiency Stackable Smart Front Load Washer with Steam and Super Speed Wash,UL Listed,200.6 pounds,27 inches,,,,,No,,,,,"Heavy, Medium Heavy, Normal, Medium Low, Light",Yes,No,SKK-8K,Yes,"Hot, Warmer, Warm, Cool, Cold",Yes,,Stainless steel,887276627403,,Yes,120 volts,"Normal, Heavy Duty, Bedding, Quick Wash, Perm. Press, Delicates, Whites, Activewear, Rinse + Spin, Self Clean+",,,Front load,,,,,,,No,Yes,Wi-Fi,
https://www.bestbuy.com/site/ge-6-2-cu-ft-electric-dryer-with-shallow-depth-design-white-with-silver-matte/6577196.p?skuId=6577196,GE - 6.2 Cu. Ft. Electric Dryer with Shallow Depth Design - White with Silver Matte,GTX38EASWWS,$539.99,4.0,(7 Reviews on geappliances.com),https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6577/6577196_sd.jpg;maxHeight=640;maxWidth=550,,Yes,,No,,,,24 amperes,,No,,Yes,,GE,,,No,6.2 cubic feet,No,White with Silver Matte,,White,,No,,Not Available,Rear panel,Dial,No,49 1/4 inches,,,,,,Aluminized alloy,,,,,Electric,,,,"Casuals, Normal, Delicates, Timed Dry",No,Vented,No,Yes,,,,,,,"Rear, Right, Left, Bottom",,,,No,,,,,,,No,,No,1,1,,,Yes,GTW385ASWWS,Top load,,,,GTX38EASWWS,Yes,No,,,,4,,,,,3,,,"Cool Down, Less Dry, More Dry, Optimum Dry, Air Fluff (No Heat)",,,No,,No,,29 1/2 inches,44 inches,,6.2 Cu. Ft. Electric Dryer with Shallow Depth Design,None,100 pounds,27 inches,,,,,Yes,,No,,,,No,,,No,"High, Medium, Low",No,,,084691944249,,No,240 volts,,,,,,,,,,,,No,None,
https://www.bestbuy.com/site/samsung-7-5-cu-ft-stackable-smart-electric-dryer-with-steam-sanitize-champagne/6491514.p?skuId=6491514,Samsung - 7.5 Cu. Ft. Stackable Smart Electric Dryer with Steam Sanitize+ - Champagne,DVE45B6300C,$699.99,4.7,(959 Reviews),https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6491/6491514_sd.jpg;maxHeight=640;maxWidth=550,,Yes,,Yes,,,,30 amperes,,Yes,,,,Samsung,,,,7.5 cubic feet,,Champagne,,Champagne,,No,,,,,,52 9/16 inches,,,,,,Anodized steel,,,,,Electric,,,,,No,Vented,No,Yes,644 kilowatt hours,,,,,,"Bottom, Left, Rear, Right",,,,,,,,,,,Yes,,Yes,1 year,1 year,,,Yes,WF45B6300AC,Front load,,,,DVE45B6300C,Yes,,,,,12,,,,,5,,,10,,,Yes,WE402NC,No,,31 5/16 inches,38 3/4 inches,,7.5 Cu. Ft. Stackable Smart Electric Dryer with Steam Sanitize+,,116.8 pounds,27 inches,,,,,Yes,,,,,,Yes,No,SKK-8K,Yes,"High, Medium High, Medium, Medium Low, Low",Yes,,,887276628004,,Yes,240 volts,,,,,,,,,,Fill hose,,,Wi-Fi,SmartThings
https://www.bestbuy.com/site/ge-4-6-cu-ft-high-efficiency-top-load-washer-with-wash-boost-white-with-matte-black/6577208.p?skuId=6577208,GE - 4.6 Cu. Ft. High-Efficiency Top Load Washer with Wash Boost - White with Matte Black,GTW480ASWWB,$579.99,4.7,(3 Reviews),https://pisces.bbystatic.com/image2/BestBuy_US/images/products/6577/6577208_sd.jpg;maxHeight=640;maxWidth=550,,,No,,No,Yes,,10 amperes,No,No,,Yes,Yes,GE,,No,No,4.6 cubic feet,No,White with Matte Black,,White,,,,Not Available,,Dial,No,,Single load,"Gel, Liquid, Powder, Single-use packs, Tablet",,,Yes,,,,,,,,,,,,,No,Yes,186 kilowatt hours,,,26 United States dollars,,,,No,No,No,No,,,44 inches,54 inches,Yes,,No,,,1,1,Yes,"GTD48EASWWB, GTD48GASWWB",,,,,750 revolutions per minute,,GTW480ASWWB,,No,,,,,,,,2,6,,10,"Cold Plus, Deep Fill, Deep Rinse, Extra Rinse, Extra Spin, Wash Boost- Power, Wash Boost- Soak",Yes,,,,Yes,No,27 inches,44 inches,,4.6 Cu. Ft. High-Efficiency Top Load Washer with Wash Boost,None,147 pounds,27 inches,,,,,,,,,No,,,,,No,"Cold Plus, Cold, Cool, Mild, Warm, Hot",No,,Stainless steel,084691943600,,No,120 volts,"ActiveWear, Bulky, Casuals, Delicates, Drain & Spin, Normal, Quick Wash, Sanitize w/ Oxi, Towels/Sheets, Whites",,,Top load,,,,,Impeller,,No,No,None,
